;Matricule;Annee_academique;Niveau;Cursus;Filiere;Age;Annee_naissance;Genre;Distance_domicile_ecole;Note_moy_CC_S1;Note_moy_SN_S1;Note_moy_CC_S2;Note_moy_SN_S2;Moyenne_S1;Moyenne_S2;Moyenne_annuelle;Nb_matieres_validees;Nb_credits_obtenus;Nb_matieres_non_validees;Nb_heures_cours_total;Nb_heures_presence;Nb_projets;Reussite;ratio_heure;encodage_dist_dom;prediction
0;20G93810;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;14,75;14,66;12,99;11,78;14,69;12,26;13,48;20;60;0;420;330;3;1;0,79;2;1
1;20G46048;2020/2021;1;ING;Tronc_commun;17;2003;M;<5km;11,87;11,47;11,16;8,57;11,63;9,61;10,62;18;54;2;420;408;3;1;0,97;2;1
2;20G23434;2020/2021;1;ING;Tronc_commun;19;2001;M;>15km;14,72;15,57;14,58;16,18;15,23;15,54;15,38;20;60;0;420;365;3;1;0,87;2;1
3;20G65302;2020/2021;1;ING;Tronc_commun;17;2003;M;<5km;11,91;14,51;11,15;12,92;13,47;12,21;12,84;20;60;0;420;350;3;1;0,83;2;1
4;20G38657;2020/2021;1;ING;Tronc_commun;17;2003;M;>15km;14,57;12,65;13,22;14,61;13,42;14,05;13,74;20;60;0;420;319;3;1;0,76;2;1
5;20G36062;2020/2021;1;ING;Tronc_commun;19;2001;F;<5km;12,71;13,19;16,6;17,69;13;17,26;15,13;20;60;0;420;393;3;1;0,94;2;1
6;20G68878;2020/2021;1;ING;Tronc_commun;19;2001;F;<5km;2,38;6,9;4,44;3,53;5,09;3,89;4,49;8;24;12;420;251;3;0;0,6;2;0
7;20G30926;2020/2021;1;ING;Tronc_commun;19;2001;F;5-15km;11,89;9,57;10,83;9,83;10,5;10,23;10,36;19;57;1;420;365;3;1;0,87;0;1
8;20G46421;2020/2021;1;ING;Tronc_commun;17;2003;M;5-15km;4,33;10,04;7,88;9,86;7,76;9,07;8,41;12;36;8;420;318;3;0;0,76;0;0
9;20G23396;2020/2021;1;ING;Tronc_commun;17;2003;F;<5km;16,39;13,23;12,76;13,01;14,49;12,91;13,7;20;60;0;420;346;3;1;0,82;2;1
10;20G57052;2020/2021;1;ING;Tronc_commun;18;2002;F;<5km;11,47;15,25;11,89;12,51;13,74;12,27;13;20;60;0;420;367;3;1;0,87;2;1
11;20G70217;2020/2021;1;ING;Tronc_commun;19;2001;M;5-15km;12,14;9,5;13,06;12,99;10,56;13,02;11,79;18;54;2;420;334;3;1;0,8;0;1
12;20G20328;2020/2021;1;ING;Tronc_commun;19;2001;F;>15km;11,3;11,58;10,95;11,9;11,47;11,52;11,49;20;60;0;420;322;3;1;0,77;2;1
13;20G91070;2020/2021;1;ING;Tronc_commun;18;2002;M;>15km;10,45;15,18;12,98;12,52;13,29;12,71;13;20;60;0;420;321;3;1;0,76;2;1
14;20G19116;2020/2021;1;ING;Tronc_commun;17;2003;M;5-15km;11,11;14,14;12,68;14,92;12,93;14,02;13,48;15;45;5;420;360;3;1;0,86;0;1
15;20G20458;2020/2021;1;ING;Tronc_commun;17;2003;M;5-15km;11,54;12,76;10,78;12,81;12,27;12;12,14;20;60;0;420;362;3;1;0,86;0;1
16;20G46434;2020/2021;1;ING;Tronc_commun;18;2002;F;<5km;13,32;12,31;11,72;12,34;12,71;12,09;12,4;20;60;0;420;376;3;1;0,9;2;1
