Type_ressource,Identifiant_ressource,Nom_matiere,Filiere,Niveau,Cursus,Annee_academique,Date,Heure_debut,Heure_fin,Type_cours,Periode_annee,Nb_personnes,Capacite,Enseignant_id,Videoprojecteur,Chevauchement,Etat_utilisation_ressource
Salle,26BP2,Chimie Organique,GPR,5,ING,2020/2021,2020-09-19,07:30,11:30,CM,Semestre 1,73,120,ENS-GPR-0004,OUI,NON,BIEN_UTILISE
Salle,31BS2,Chimie Organique,GPR,5,ING,2020/2021,2020-11-21,12:30,16:30,CM,Semestre 1,73,120,ENS-GPR-0008,OUI,NON,BIEN_UTILISE
Salle,27BP2,Chimie Organique,GPR,5,ING,2020/2021,2020-11-19,12:30,16:30,CM,Semestre 1,73,120,ENS-GPR-0011,OUI,NON,BIEN_UTILISE
Salle,22BS1,Chimie Organique,GPR,5,ING,2020/2021,2020-11-02,07:30,11:30,TD,Semestre 1,36,60,ENS-GPR-0006,OUI,NON,BIEN_UTILISE
Salle,23BP2,Chimie Organique,GPR,5,ING,2020/2021,2020-11-09,12:30,16:30,TD,Semestre 1,36,60,ENS-GPR-0005,NON,NON,BIEN_UTILISE
Labo,Labo-GPR-Chimie2,Chimie Organique,GPR,5,ING,2020/2021,2020-12-01,12:30,16:30,TP,Semestre 1,24,30,ENS-GPR-0003,NON,NON,BIEN_UTILISE
Labo,Labo-GPR-Chimie2,Chimie Organique,GPR,5,ING,2020/2021,2020-11-27,07:30,11:30,TP,Semestre 1,24,30,ENS-GPR-0003,NON,NON,BIEN_UTILISE
Amphi,Amphi-1100,Physique Générale II,Tronc_commun,2,ING,2020/2021,2020-12-18,12:30,16:30,CM,Semestre 1,69,1100,ENS-GCI-0012,OUI,NON,BIEN_UTILISE
Amphi,Amphi-1100,Physique Générale II,Tronc_commun,2,ING,2020/2021,2020-09-10,12:30,16:30,CM,Semestre 1,69,1100,ENS-GM-0005,OUI,NON,BIEN_UTILISE
Amphi,Amphi-1100,Physique Générale II,Tronc_commun,2,ING,2020/2021,2020-11-10,07:30,11:30,CM,Semestre 1,69,1100,ENS-GM-0008,OUI,NON,BIEN_UTILISE
Salle,34BP2,Physique Générale II,Tronc_commun,2,ING,2020/2021,2020-12-14,12:30,16:30,TD,Semestre 1,34,60,ENS-GIT-0008,NON,NON,BIEN_UTILISE
Salle,18BP1,Physique Générale II,Tronc_commun,2,ING,2020/2021,2020-11-30,12:30,16:30,TD,Semestre 1,34,60,ENS-GMP-0007,NON,NON,BIEN_UTILISE
Labo,Labo-INFO,Physique Générale II,Tronc_commun,2,ING,2020/2021,2020-12-15,12:30,16:30,TP,Semestre 1,23,50,ENS-GE-0005,NON,NON,BIEN_UTILISE
Labo,Labo-INFO,Physique Générale II,Tronc_commun,2,ING,2020/2021,2021-01-08,12:30,16:30,TP,Semestre 1,23,50,ENS-GIT-0009,NON,NON,BIEN_UTILISE
Salle,34BS2,Cours MEMA N3S1-1,MEMA,3,SCI ING,2020/2021,2020-10-12,07:30,11:30,CM,Semestre 1,12,60,ENS-GM-0009,OUI,NON,BIEN_UTILISE
Salle,21BS2,Cours MEMA N3S1-1,MEMA,3,SCI ING,2020/2021,2020-09-29,07:30,11:30,CM,Semestre 1,12,120,ENS-GM-0011,NON,NON,SOUS_UTILISE
Salle,31BS1,Cours MEMA N3S1-1,MEMA,3,SCI ING,2020/2021,2020-09-30,12:30,16:30,CM,Semestre 1,12,60,ENS-GM-0015,OUI,NON,BIEN_UTILISE
Salle,31BP2,Cours MEMA N3S1-1,MEMA,3,SCI ING,2020/2021,2020-10-21,07:30,11:30,TD,Semestre 1,6,120,ENS-GM-0015,OUI,NON,BIEN_UTILISE
Salle,23BP2,Cours MEMA N3S1-1,MEMA,3,SCI ING,2020/2021,2020-11-19,07:30,11:30,TD,Semestre 1,6,60,ENS-GM-0008,NON,OUI,SOUS_UTILISE
Labo,Labo-GM,Cours MEMA N3S1-1,MEMA,3,SCI ING,2020/2021,2020-12-03,12:30,16:30,TP,Semestre 1,4,35,ENS-GM-0013,NON,NON,BIEN_UTILISE
Labo,Labo-GM,Cours MEMA N3S1-1,MEMA,3,SCI ING,2020/2021,2020-09-25,07:30,11:30,TP,Semestre 1,4,35,ENS-GM-0003,NON,NON,BIEN_UTILISE
Salle,01BP0,Cours CIBI N5S1-1,CIBI,5,SCI ING,2020/2021,2020-11-20,07:30,11:30,CM,Semestre 1,52,60,ENS-GPR-0001,OUI,NON,BIEN_UTILISE
Salle,32BS2,Cours CIBI N5S1-1,CIBI,5,SCI ING,2020/2021,2020-11-07,07:30,11:30,CM,Semestre 1,52,60,ENS-GPR-0009,OUI,NON,BIEN_UTILISE
Salle,29BP2,Cours CIBI N5S1-1,CIBI,5,SCI ING,2020/2021,2020-11-20,12:30,16:30,CM,Semestre 1,52,60,ENS-GPR-0012,NON,NON,BIEN_UTILISE
Salle,22BS2,Cours CIBI N5S1-1,CIBI,5,SCI ING,2020/2021,2020-11-17,07:30,11:30,TD,Semestre 1,26,60,ENS-GPR-0011,OUI,NON,BIEN_UTILISE
Salle,03BP0,Cours CIBI N5S1-1,CIBI,5,SCI ING,2020/2021,2020-11-18,12:30,16:30,TD,Semestre 1,26,60,ENS-GPR-0002,OUI,NON,BIEN_UTILISE
Labo,Labo-GPR-Chimie1,Cours CIBI N5S1-1,CIBI,5,SCI ING,2020/2021,2020-09-05,07:30,11:30,TP,Semestre 1,17,30,ENS-GPR-0012,NON,NON,BIEN_UTILISE
Labo,Labo-GPR-Chimie2,Cours CIBI N5S1-1,CIBI,5,SCI ING,2020/2021,2020-09-14,07:30,11:30,TP,Semestre 1,17,30,ENS-GPR-0012,NON,NON,BIEN_UTILISE
Salle,32BS2,Cours GAM N5S1-4,GAM,5,ING,2020/2021,2020-11-19,07:30,11:30,CM,Semestre 1,40,60,ENS-GAM-0001,OUI,NON,BIEN_UTILISE
Salle,27BS1,Cours GAM N5S1-4,GAM,5,ING,2020/2021,2020-09-07,07:30,11:30,CM,Semestre 1,40,60,ENS-GAM-0005,OUI,NON,BIEN_UTILISE
Salle,32BP1,Cours GAM N5S1-4,GAM,5,ING,2020/2021,2020-09-29,12:30,16:30,CM,Semestre 1,40,60,ENS-GAM-0003,NON,NON,BIEN_UTILISE
Salle,22BS2,Cours GAM N5S1-4,GAM,5,ING,2020/2021,2020-12-04,07:30,11:30,TD,Semestre 1,20,60,ENS-GAM-0009,OUI,NON,BIEN_UTILISE
Salle,34BP1,Cours GAM N5S1-4,GAM,5,ING,2020/2021,2021-01-06,12:30,16:30,TD,Semestre 1,20,60,ENS-GAM-0010,OUI,NON,BIEN_UTILISE
