Matricule,Annee_academique,Niveau,Cursus,Filiere,Age,Annee_naissance,Genre,Distance_domicile_ecole,Travaille,Note_moy_CC_S1,Note_moy_SN_S1,Note_moy_CC_S2,Note_moy_SN_S2,Moyenne_S1,Moyenne_S2,Moyenne_annuelle,Nb_matieres_validees,Nb_credits_obtenus,Nb_matieres_non_validees,Nb_heures_cours_total,Nb_heures_presence,Nb_projets,Reussite
20G21802,2020/2021,1,ING,Tronc_commun,18,2002,F,<5km,OUI,11.97,12.1,12.36,12.4,12.04,12.38,12.21,18,54,2,420,350,3,1
20G38199,2020/2021,1,ING,Tronc_commun,19,2001,F,<5km,NON,14.66,16.98,17.07,15.5,16.06,16.13,16.09,19,57,1,420,372,3,1
20G16624,2020/2021,1,ING,Tronc_commun,18,2002,F,>15km,NON,11.71,12.44,10.69,12.37,12.15,11.7,11.92,18,54,2,420,330,3,1
20G95755,2020/2021,1,ING,Tronc_commun,19,2001,F,5-15km,NON,9.88,10.55,10.81,11.04,10.28,10.94,10.61,18,54,2,420,398,3,1
20G80345,2020/2021,1,ING,Tronc_commun,17,2003,M,5-15km,NON,15.71,15.55,15.14,14.7,15.61,14.88,15.24,18,54,2,420,383,3,1
20G27555,2020/2021,1,ING,Tronc_commun,18,2002,F,5-15km,NON,11.88,10.96,9.21,10.29,11.33,9.86,10.6,15,45,5,420,408,3,1
20G57964,2020/2021,1,ING,Tronc_commun,17,2003,F,<5km,NON,15.13,17.21,15.69,17.31,16.38,16.66,16.52,19,57,1,420,335,3,1
20G84747,2020/2021,1,ING,Tronc_commun,19,2001,M,5-15km,NON,5.33,6.65,6.1,7.42,6.12,6.89,6.51,11,33,9,420,194,3,0
20G82512,2020/2021,1,ING,Tronc_commun,18,2002,M,5-15km,NON,7.24,6.22,4.83,5.83,6.63,5.43,6.03,14,42,6,420,245,3,0
20G76093,2020/2021,1,ING,Tronc_commun,18,2002,F,>15km,NON,12.38,13.22,15.28,14.02,12.88,14.52,13.7,17,51,3,420,343,3,1
20G99181,2020/2021,1,ING,Tronc_commun,19,2001,M,<5km,NON,15.59,16.68,13.2,17.12,16.24,15.55,15.9,19,57,1,420,328,3,1
20G22672,2020/2021,1,ING,Tronc_commun,18,2002,F,5-15km,NON,11.07,13.82,14.06,11.6,12.72,12.58,12.65,18,54,2,420,350,3,1
